



Seniority^680167
Department^680168
Company Type^680169
Company Size^680171
Head Region^680288
Ranking^745944
Relationship^749750
Contact Owner^750541
LinkedInURL^776043
Sub Department^784455
Job Type^784456
Notes^794404
Product^676296
Rev Model^676297
Lead Source^676298
Campaign^749060
RAG^683271
Pitch Type^699044
Payments^729686
Sub Product^729829
Notes^795754
0 - Lost^1951746
Tracking - COSMOS Conversations^2378369
2 - No Opportunity - Tracking^2090443
1 - Identified/Target^1991039
A - Prospecting^2223499
Z - Cosmos Tracking^2375642
3 - Goals Shared^1641357
4 - Access Granted^1575756
5 - Scoping/Reviewing^1713870
6 - POC/Trial^1713581
7 - Proposal^1575757
8 - Negotiation^1575758
9 - Legal^2042056
10 - Verbal Commitment^2118886
11 - Won^1575759
Lost^1575761
Won^1575760
Alison Hood 619735
Alison Hood^619735
Elias Diamantis 628660
Elias Diamantis^628660
Govind Jajoo 467459
Govind Jajoo^467459
Jon Butler 453061
Jon Butler^453061
Mike Wilkins 616256
Mike Wilkins^616256
Mohamed Arkate 591437
Mohamed Arkate^591437
