('1', (332, 137))^('0', (1274, 846))^('3', (428, 27))^('2', (401, 69))^168^628
anchorage capital^('anchorage digital', 0)
ktb - krung thai bank^('ktb', 1)
six^('six', 0)^('six', 0)
redburn^('redburn', 0)^('redburn', 0)
csc^('csc', 0)
talhunt^('talhunt', 0)
university of toronto^('university of the witwatersrand', 2)
east west bank^('east alpha', 1)
ig^('ig', 0)^('ig', 0)
bgc capital^('bgc partners', 0)^('bgc partners', 0)
prorise rpo^('prorise rpo', 0)
bajaj finserv^('bajaj finserv', 0)
soc gen^('societe generale securities services', 0)^('soci\xc3\xa9t\xc3\xa9 g\xc3\xa9n\xc3\xa9rale', 0)^('soci\xc3\xa9t\xc3\xa9 g\xc3\xa9n\xc3\xa9rale', 0)^('soci\xc3\xa9t\xc3\xa9 g\xc3\xa9n\xc3\xa9rale', 0)^('societe generale corporate and investment banking', 0)^('soci\xc3\xa9t\xc3\xa9 g\xc3\xa9n\xc3\xa9rale', 0)^('soci\xc3\xa9t\xc3\xa9 g\xc3\xa9n\xc3\xa9rale', 0)^('soci\xc3\xa9t\xc3\xa9 g\xc3\xa9n\xc3\xa9rale', 0)^('soci\xc3\xa9t\xc3\xa9 g\xc3\xa9n\xc3\xa9rale', 0)^('societe generale global solution centre', 0)
business warrior^('business magazine usa', 1)
the mersea road clinic^('the mersea road clinic', 0)
london metal exchange^('london metal exchange', 0)^('london metal exchange', 0)^('london metal exchange', 0)
hec paris^('hec paris', 0)
danske bank^('danske bank', 0)^('danske bank', 0)^('danske bank', 0)
brain in spa^('brain in spa', 0)
handelsbanken^('handelsbanken capital markets', 0)
schroders^('schroders', 0)^('schroders', 0)^('schroders', 0)^('schroders', 0)^('schroders', 0)
walmart global tech^('walmart global tech', 0)
data maelumat^('data maelumat', 0)^('data pilot', 1)
ai tech advisors^('ai persona with reena strehle', 1)
ssi securities corporation^('ssi securities', 2)
second foundation^('second foundation', 0)
gfi group^('gfi', 0)
hutton consulting^('hutton consulting', 0)^('hutton consulting', 0)^('hutton consulting', 0)
the maple group^('the maple', 2)
pippa & company^('pippa & company', 0)
ortex^('ortex', 0)
cyberx infosystem pvt ltd^('cyberx infosystem', 2)
besuccess^('besuccess', 0)
coforge^('coforge', 0)
barclays^('barclays uk', 0)^('barclays investment bank', 0)^('barclays investment bank', 0)^('barclays', 0)^('barclays investment bank', 0)^('barclays', 0)^('barclays corporate & investment bank', 0)^('barclays investment bank', 0)^('barclays investment bank', 0)^('barclays', 0)^('barclays investment bank', 0)
balanz capital^('balanz', 1)
devexperts^('devexperts', 0)
broadridge^('broadridge', 0)^('broadridge', 0)
movements marketing^('movements marketing', 0)
redcruise^('redcruise', 0)
verifone^('verifone', 0)
evercast^('evercast', 0)
harrington starr^('harrington starr', 0)
urban tropics^('urban tropics', 0)
old mutual^('old mutual', 0)
the world^('the team freelance', 1)^('the access bank uk', 1)^('the singapore journal', 1)^('the emirates times', 1)^('the realization', 1)^('the daring way', 1)^('the firm', 1)^('the emirates times', 1)
emerald bay^('emerald technology ventures', 1)
